,page,product,link
519,26,"Last sold on
      12/02/20258A Pleasant Place, North East Valley642753m2$960,000(last sale price)",https://www.realestate.co.nz/property/8a-pleasant-place-north-east-valley-dunedin-city-otago/5zhqm77q
520,27,"Last sold on
      12/02/202529 Cardigan Street, North East Valley411018m2$130,000(last sale price)",https://www.realestate.co.nz/property/29-cardigan-street-north-east-valley-dunedin-city-otago/j9j9j99t
521,27,"Last sold on
      11/02/202530 Dornoch Street, Kew11462m2$405,000(last sale price)",https://www.realestate.co.nz/property/30-dornoch-street-kew-dunedin-city-otago/clsz5cvv
522,27,"Last sold on
      11/02/202552 Ajax Street, Saint Kilda31465m2$515,000(last sale price)",https://www.realestate.co.nz/property/52-ajax-street-saint-kilda-dunedin-city-otago/n5n5n54r
523,27,"Last sold on
      11/02/202543 Carr Street, North East Valley41668m2$510,000(last sale price)",https://www.realestate.co.nz/property/43-carr-street-north-east-valley-dunedin-city-otago/7s8mx26q
524,27,"Last sold on
      11/02/20257 Spencer Street, Andersons Bay2807m2$785,000(last sale price)",https://www.realestate.co.nz/property/7-spencer-street-andersons-bay-dunedin-city-otago/81vng8vr
525,27,"Last sold on
      11/02/20256/84 Warrender Street, North Dunedin21$500,000(last sale price)",https://www.realestate.co.nz/property/6-84-warrender-street-north-dunedin-dunedin-city-otago/82ltqbwz
526,27,"Last sold on
      11/02/20252A Argyle Street, Mosgiel$470,000(last sale price)",https://www.realestate.co.nz/property/2a-argyle-street-mosgiel-dunedin-city-otago/yf79pdls
527,27,"Last sold on
      11/02/202546 Caldwell Street, Brockville31817m2$480,000(last sale price)",https://www.realestate.co.nz/property/46-caldwell-street-brockville-dunedin-city-otago/k3flj8jr
528,27,"Last sold on
      11/02/2025506 South Road, Calton Hill311127m2$680,000(last sale price)",https://www.realestate.co.nz/property/506-south-road-calton-hill-dunedin-city-otago/wfh12mxr
529,27,"Last sold on
      11/02/2025236A Taieri Road, Wakari21511m2$555,000(last sale price)",https://www.realestate.co.nz/property/236a-taieri-road-wakari-dunedin-city-otago/04cq4nfr
530,27,"Last sold on
      11/02/202518 Walton Park Avenue, Fairfield31715m2$680,000(last sale price)",https://www.realestate.co.nz/property/18-walton-park-avenue-fairfield-dunedin-city-otago/gck1txds
531,27,"Last sold on
      11/02/202523A Jellicoe Crescent, Kaikorai411121m2$638,113(last sale price)",https://www.realestate.co.nz/property/23a-jellicoe-crescent-kaikorai-dunedin-city-otago/wzs9hffr
532,27,"Last sold on
      10/02/202523 Freyberg Street, Saint Kilda21258m2$485,000(last sale price)",https://www.realestate.co.nz/property/23-freyberg-street-saint-kilda-dunedin-city-otago/5yrkc54r
533,27,"Last sold on
      10/02/2025133 London Street, Dunedin Central62518m2$725,000(last sale price)",https://www.realestate.co.nz/property/133-london-street-dunedin-central-dunedin-city-otago/vpbs01qr
534,27,"Last sold on
      10/02/202540A Green Street, Mosgiel31506m2$582,000(last sale price)",https://www.realestate.co.nz/property/40a-green-street-mosgiel-dunedin-city-otago/jnw6m5hs
535,27,"Last sold on
      10/02/202528 Exeter Street, Abbotsford42750m2$685,000(last sale price)",https://www.realestate.co.nz/property/28-exeter-street-abbotsford-dunedin-city-otago/9wh3p98r
536,27,"Last sold on
      10/02/2025174 Bay View Road, South Dunedin31409m2$515,000(last sale price)",https://www.realestate.co.nz/property/174-bay-view-road-south-dunedin-dunedin-city-otago/6l98k52r
537,27,"Last sold on
      10/02/2025146A Highgate, Roslyn41569m2$671,000(last sale price)",https://www.realestate.co.nz/property/146a-highgate-roslyn-dunedin-city-otago/l0t1npgr
538,27,"Last sold on
      09/02/202533 Ayr Street, Mosgiel31572m2$624,000(last sale price)",https://www.realestate.co.nz/property/33-ayr-street-mosgiel-dunedin-city-otago/snqzf3ls
539,27,"Last sold on
      07/02/202531 Forbury Road, Forbury62600m2$602,500(last sale price)",https://www.realestate.co.nz/property/31-forbury-road-forbury-dunedin-city-otago/rwtk3f1r
540,28,"Recently sold9 Alder Crescent, Mosgiel33430m2Price is not yet confirmed",https://www.realestate.co.nz/property/9-alder-crescent-mosgiel-dunedin-city-otago/1Vdwfqgbl
541,28,"Last sold on
      07/02/202512 Cochrane Street, Mornington31637m2$500,000(last sale price)",https://www.realestate.co.nz/property/12-cochrane-street-mornington-dunedin-city-otago/f91q9rlr
542,28,"Last sold on
      07/02/202595 Riselaw Road, Calton Hill31672m2$575,000(last sale price)",https://www.realestate.co.nz/property/95-riselaw-road-calton-hill-dunedin-city-otago/tqbnnczr
543,28,"Last sold on
      07/02/2025245 Pine Hill Road, Dalmore21546m2$490,000(last sale price)",https://www.realestate.co.nz/property/245-pine-hill-road-dalmore-dunedin-city-otago/3cvhcfbr
544,28,"Last sold on
      07/02/202558 Church Street, Mosgiel21260m2$525,525(last sale price)",https://www.realestate.co.nz/property/58-church-street-mosgiel-dunedin-city-otago/d7f22hls
545,28,"Last sold on
      07/02/202541 Marks Road, Karitane21819m2$540,000(last sale price)",https://www.realestate.co.nz/property/41-marks-road-karitane-dunedin-city-otago/vdrwtk1q
546,28,"Last sold on
      07/02/202518 Dalrymple Street, Pine Hill31562m2$635,888(last sale price)",https://www.realestate.co.nz/property/18-dalrymple-street-pine-hill-dunedin-city-otago/gylgjs7q
547,28,"Last sold on
      07/02/20255 Berwick Street, Mosgiel32890m2$925,000(last sale price)",https://www.realestate.co.nz/property/5-berwick-street-mosgiel-dunedin-city-otago/wdmj4fms
548,28,"Last sold on
      07/02/2025880 Coast Road, Warrington2m2$100,000(last sale price)",https://www.realestate.co.nz/property/880-coast-road-warrington-dunedin-city-otago/yyn25z1q
549,28,"Last sold on
      07/02/202535 Teignmouth Street, Abbotsford31485m2$605,000(last sale price)",https://www.realestate.co.nz/property/35-teignmouth-street-abbotsford-dunedin-city-otago/hn0kb98r
550,28,"Last sold on
      07/02/202510 Glendevon Place, Vauxhall31701m2$850,000(last sale price)",https://www.realestate.co.nz/property/10-glendevon-place-vauxhall-dunedin-city-otago/jgshm4sr
551,28,"Last sold on
      06/02/202581 Middleton Road, Kew21573m2$460,000(last sale price)",https://www.realestate.co.nz/property/81-middleton-road-kew-dunedin-city-otago/5qsbdyyr
552,28,"Last sold on
      06/02/202546 Meridian Street, Port Chalmers21947m2$695,000(last sale price)",https://www.realestate.co.nz/property/46-meridian-street-port-chalmers-dunedin-city-otago/shm41c5q
553,28,"Last sold on
      05/02/20256 Neil Collins Lane, Mosgiel32612m2$1,032,000(last sale price)",https://www.realestate.co.nz/property/6-neil-collins-lane-mosgiel-dunedin-city-otago/C5RJrgtZk
554,28,"Last sold on
      05/02/20255 Tate Crescent, Green Island42851m2$1,140,000(last sale price)",https://www.realestate.co.nz/property/5-tate-crescent-green-island-dunedin-city-otago/tpg4p5rfk
