,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
307,"Last sold on
      11/03/202511 Marama Street, Musselburgh42506m2$810,000(last sale price)",https://www.realestate.co.nz/property/11-marama-street-musselburgh-dunedin-city-otago/nn7d6kwr,,,,,"$670,000",Low,"$810,000",11/03/2025,Low,$615K,Med,$654K,High,$691K,Updated 01/07/22,$670K,1 Jul 2022,"$255,000","$415,000",4,2,159m2,506m2,,1
308,"Last sold on
      10/03/202568 Rosebery Street, Belleknowes31450m2$672,000(last sale price)",https://www.realestate.co.nz/property/68-rosebery-street-belleknowes-dunedin-city-otago/3gbpjwkr,,,,,"$770,000",Low,"$672,000",10/03/2025,Low,$671K,Med,$710K,High,$758K,Updated 01/07/22,$770K,1 Jul 2022,"$365,000","$405,000",3,1,113m2,450m2,,1
309,"Last sold on
      10/03/202510 Braeview Crescent, Maori Hill43829m2$1,360,000(last sale price)",https://www.realestate.co.nz/property/10-braeview-crescent-maori-hill-dunedin-city-otago/h3p9whbr,,,,,"$1,530,000",Low,"$1,360,000",10/03/2025,Low,$1.3M,Med,$1.38M,High,$1.53M,Updated 01/07/22,$1.53M,1 Jul 2022,"$975,000","$555,000",4,3,292m2,829m2,,4
310,"Last sold on
      10/03/202516 Esk Place, Mosgiel31615m2$613,500(last sale price)",https://www.realestate.co.nz/property/16-esk-place-mosgiel-dunedin-city-otago/d0l6sdks,,,,,"$570,000",Low,"$613,500",10/03/2025,Low,$529K,Med,$558K,High,$585K,Updated 01/07/22,$570K,1 Jul 2022,"$385,000","$185,000",3,1,110m2,615m2,,1
311,"Last sold on
      10/03/20256 Alexander Street, Abbotsford31631m2$585,000(last sale price)",https://www.realestate.co.nz/property/6-alexander-street-abbotsford-dunedin-city-otago/rwtk3f9r,,,,,"$550,000",Low,"$585,000",10/03/2025,Low,$510K,Med,$539K,High,$566K,Updated 01/07/22,$550K,1 Jul 2022,"$255,000","$295,000",3,1,100m2,631m2,,2
312,"Last sold on
      10/03/202538 Islington Street, North East Valley31529m2$740,000(last sale price)",https://www.realestate.co.nz/property/38-islington-street-north-east-valley-dunedin-city-otago/v38bb68q,,,,,"$690,000",Low,"$740,000",10/03/2025,Low,$601K,Med,$641K,High,$689K,Updated 01/07/22,$690K,1 Jul 2022,"$455,000","$235,000",3,1,133m2,529m2,,1
313,"Last sold on
      10/03/202548 Elwyn Crescent, Green Island31513m2$580,000(last sale price)",https://www.realestate.co.nz/property/48-elwyn-crescent-green-island-dunedin-city-otago/86yhvzbs,,,,,"$580,000",Low,"$580,000",10/03/2025,Low,$518K,Med,$548K,High,$567K,Updated 01/07/22,$580K,1 Jul 2022,"$315,000","$265,000",3,1,130m2,513m2,,1
314,"Last sold on
      10/03/20252 Flower Street, Fairfield31812m2$590,000(last sale price)",https://www.realestate.co.nz/property/2-flower-street-fairfield-dunedin-city-otago/z10wnbds,,,,,"$560,000",Low,"$590,000",10/03/2025,Low,$505K,Med,$534K,High,$558K,Updated 01/07/22,$560K,1 Jul 2022,"$280,000","$280,000",3,1,90m2,812m2,,1
315,"Last sold on
      10/03/202557 Beach Street, Waikouaiti311012m2$450,000(last sale price)",https://www.realestate.co.nz/property/57-beach-street-waikouaiti-dunedin-city-otago/h8xhzb4q,,,,,"$465,000",Low,"$450,000",10/03/2025,Low,$400K,Med,$444K,High,$471K,Updated 01/07/22,$465K,1 Jul 2022,"$270,000","$195,000",3,1,110m2,1012m2,,
316,"Last sold on
      10/03/20251 Mallard Place, Mosgiel31824m2$620,000(last sale price)",https://www.realestate.co.nz/property/1-mallard-place-mosgiel-dunedin-city-otago/v1jbftks,,,,,"$670,000",Low,"$620,000",10/03/2025,Low,$646K,Med,$674K,High,$712K,Updated 01/07/22,$670K,1 Jul 2022,"$425,000","$245,000",3,1,110m2,824m2,,1
317,"Last sold on
      09/03/202518 Fifield Street, Roslyn42539m2$890,000(last sale price)",https://www.realestate.co.nz/property/18-fifield-street-roslyn-dunedin-city-otago/ych9s0fr,,,,,"$1,120,000",Low,"$890,000",9/03/2025,Low,$915K,Med,$1.01M,High,$1.12M,Updated 01/07/22,$1.12M,1 Jul 2022,"$750,000","$370,000",4,2,210m2,539m2,,2
318,"Last sold on
      08/03/202587C Ravenswood Road, Saint Clair32755m2$1,700,000(last sale price)",https://www.realestate.co.nz/property/87c-ravenswood-road-saint-clair-dunedin-city-otago/N4d101Kbl,,,,,"$1,260,000",Low,"$1,700,000",8/03/2025,Low,$1.14M,Med,$1.25M,High,$1.37M,Updated 01/07/22,$1.26M,1 Jul 2022,"$550,000","$710,000",3,2,173m2,755m2,,2
319,"Last sold on
      07/03/202584 Glenross Street, Glenross41745m2$747,000(last sale price)",https://www.realestate.co.nz/property/84-glenross-street-glenross-dunedin-city-otago/z10wnbjr,,,,,"$700,000",Low,"$747,000",7/03/2025,Low,$691K,Med,$735K,High,$775K,Updated 01/07/22,$700K,1 Jul 2022,"$230,000","$470,000",4,1,190m2,745m2,,2
320,"Last sold on
      07/03/20256/26 Maitland Street, Dunedin Central21$313,000(last sale price)",https://www.realestate.co.nz/property/6-26-maitland-street-dunedin-central-dunedin-city-otago/ks3j2pgx,,,,,"$360,000",Low,"$313,000",7/03/2025,Low,$307K,Med,$335K,High,$361K,Updated 01/07/22,$360K,1 Jul 2022,"$180,000","$180,000",2,1,56m2,,,
321,"Last sold on
      07/03/2025116 Sidey Street, Calton Hill31773m2$545,000(last sale price)",https://www.realestate.co.nz/property/116-sidey-street-calton-hill-dunedin-city-otago/8nsl39yr,,,,,"$530,000",Low,"$545,000",7/03/2025,Low,$468K,Med,$498K,High,$529K,Updated 01/07/22,$530K,1 Jul 2022,"$240,000","$290,000",3,1,94m2,773m2,,
322,"Last sold on
      07/03/2025112 Bush Road, Mosgiel32630m2$1,015,000(last sale price)",https://www.realestate.co.nz/property/112-bush-road-mosgiel-dunedin-city-otago/hFj31PdZk,,,,,"$1,000,000",Low,"$1,015,000",7/03/2025,Low,$974K,Med,$1.03M,High,$1.07M,Updated 01/07/22,$1M,1 Jul 2022,"$390,000","$610,000",3,2,182m2,630m2,,2
323,"Last sold on
      07/03/20254 Coach Road, Fairfield31599m2$902,000(last sale price)",https://www.realestate.co.nz/property/4-coach-road-fairfield-dunedin-city-otago/g9xcmnds,,,,,"$890,000",Low,"$902,000",7/03/2025,Low,$773K,Med,$833K,High,$871K,Updated 01/07/22,$890K,1 Jul 2022,"$270,000","$620,000",3,1,197m2,599m2,,2
324,"Last sold on
      07/03/202518 Collins Street, Waikouaiti311012m2$295,000(last sale price)",https://www.realestate.co.nz/property/18-collins-street-waikouaiti-dunedin-city-otago/fp0fzl4q,,,,,"$395,000",Low,"$295,000",7/03/2025,Low,$365K,Med,$415K,High,$457K,Updated 01/07/22,$395K,1 Jul 2022,"$280,000","$115,000",3,1,93m2,1012m2,,2
325,"Last sold on
      07/03/2025135 Balmacewen Road, Wakari52599m2$805,000(last sale price)",https://www.realestate.co.nz/property/135-balmacewen-road-wakari-dunedin-city-otago/hd952zcr,,,,,"$920,000",Low,"$805,000",7/03/2025,Low,$808K,Med,$878K,High,$966K,Updated 01/07/22,$920K,1 Jul 2022,"$700,000","$220,000",5,2,250m2,599m2,,2
326,"Last sold on
      07/03/202531 Arawa Street, Tainui51572m2$610,000(last sale price)",https://www.realestate.co.nz/property/31-arawa-street-tainui-dunedin-city-otago/p9wh3pvr,,,,,"$650,000",Low,"$610,000",7/03/2025,Low,$594K,Med,$631K,High,$671K,Updated 01/07/22,$650K,1 Jul 2022,"$380,000","$270,000",5,1,182m2,572m2,,2
327,"Last sold on
      07/03/202524 Mulford Street, Concord31759m2$480,000(last sale price)",https://www.realestate.co.nz/property/24-mulford-street-concord-dunedin-city-otago/b0vx5m9r,,,,,"$515,000",Low,"$480,000",7/03/2025,Low,$460K,Med,$483K,High,$512K,Updated 01/07/22,$515K,1 Jul 2022,"$265,000","$250,000",3,1,100m2,759m2,,
328,"Last sold on
      07/03/202578 Norwood Street, Normanby21506m2$520,000(last sale price)",https://www.realestate.co.nz/property/78-norwood-street-normanby-dunedin-city-otago/2b7psg7q,,,,,"$450,000",Low,"$520,000",7/03/2025,Low,$449K,Med,$478K,High,$512K,Updated 01/07/22,$450K,1 Jul 2022,"$260,000","$190,000",2,1,92m2,506m2,,1
329,"Last sold on
      07/03/202529 Blanc Avenue, Fairfield42742m2$825,000(last sale price)",https://www.realestate.co.nz/property/29-blanc-avenue-fairfield-dunedin-city-otago/fbtwkvds,,,,,"$780,000",Low,"$825,000",7/03/2025,Low,$720K,Med,$756K,High,$795K,Updated 01/07/22,$780K,1 Jul 2022,"$370,000","$410,000",4,2,193m2,742m2,,2
330,"Last sold on
      07/03/20253 Gresham Street, Tainui31718m2$560,000(last sale price)",https://www.realestate.co.nz/property/3-gresham-street-tainui-dunedin-city-otago/6xrpqvvr,,,,,"$580,000",Low,"$560,000",7/03/2025,Low,$522K,Med,$549K,High,$581K,Updated 01/07/22,$580K,1 Jul 2022,"$400,000","$180,000",3,1,120m2,718m2,,1
331,"Last sold on
      07/03/20258 Auld Street, Saint Kilda31429m2$550,000(last sale price)",https://www.realestate.co.nz/property/8-auld-street-saint-kilda-dunedin-city-otago/ftc4273r,,,,,"$520,000",Low,"$550,000",7/03/2025,Low,$500K,Med,$536K,High,$565K,Updated 01/07/22,$520K,1 Jul 2022,"$375,000","$145,000",3,1,130m2,429m2,,1
332,"Last sold on
      07/03/202525 Calder Street, Saint Kilda1372m2$390,000(last sale price)",https://www.realestate.co.nz/property/25-calder-street-saint-kilda-dunedin-city-otago/3mkwlq4r,,,,,"$415,000",Low,"$390,000",7/03/2025,Low,$372K,Med,$401K,High,$432K,Updated 01/07/22,$415K,1 Jul 2022,"$270,000","$145,000",,1,104m2,372m2,,
333,"Last sold on
      07/03/202514B Ascot Street, Saint Kilda31$507,000(last sale price)",https://www.realestate.co.nz/property/14b-ascot-street-saint-kilda-dunedin-city-otago/kk492g4r,,,,,"$510,000",Low,"$507,000",7/03/2025,Low,$470K,Med,$499K,High,$527K,Updated 01/07/22,$510K,1 Jul 2022,"$250,000","$260,000",3,1,130m2,,,1
334,"Last sold on
      07/03/20258 Pinfold Place, Mosgiel1443m2$379,000(last sale price)",https://www.realestate.co.nz/property/8-pinfold-place-mosgiel-dunedin-city-otago/5fbtwkcs,,,,,"$440,000",Low,"$379,000",7/03/2025,Low,$342K,Med,$380K,High,$420K,Updated 01/07/22,$440K,1 Jul 2022,"$425,000","$15,000",,,,1443m2,,
