,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
0,"Last sold on
      28/05/20251 Pitt Street, North Dunedin1012m2$225,000(last sale price)",https://www.realestate.co.nz/property/1-pitt-street-north-dunedin-dunedin-city-otago/sgrm35fy,,,,,"$230,000",Low,"$225,000",28/05/2025,Low,$203K,Med,$237K,High,$268K,Updated 01/07/22,$230K,1 Jul 2022,"$230,000",$0,,,,1012m2,,
1,"Last sold on
      27/05/202558 Parklands Avenue, Mosgiel3$695,000(last sale price)",https://www.realestate.co.nz/property/58-parklands-avenue-mosgiel-dunedin-city-otago/8vryf7ms,,,,,"$690,000",Low,"$695,000",27/05/2025,Low,$650K,Med,$685K,High,$709K,Updated 01/07/22,$690K,1 Jul 2022,"$215,000","$475,000",3,,130m2,,,2
2,"Last sold on
      23/05/2025267 Macandrew Road, Forbury31491m2$470,000(last sale price)",https://www.realestate.co.nz/property/267-macandrew-road-forbury-dunedin-city-otago/y73lpc3r,,,,,"$650,000",Low,"$470,000",23/05/2025,Low,$566K,Med,$609K,High,$655K,Updated 01/07/22,$650K,1 Jul 2022,"$370,000","$280,000",3,1,120m2,491m2,,
3,"Last sold on
      16/05/202521 Seaview Terrace, Kew31579m2$488,000(last sale price)",https://www.realestate.co.nz/property/21-seaview-terrace-kew-dunedin-city-otago/2zwsplyr,,,,,"$580,000",Low,"$488,000",16/05/2025,Low,$518K,Med,$541K,High,$570K,Updated 01/07/22,$580K,1 Jul 2022,"$325,000","$255,000",3,1,130m2,579m2,,1
4,"Last sold on
      16/05/202530 Mcfadden Drive, Mosgiel31670m2$715,000(last sale price)",https://www.realestate.co.nz/property/30-mcfadden-drive-mosgiel-dunedin-city-otago/vw93bzks,,,,,"$910,000",Low,"$715,000",16/05/2025,Low,$810K,Med,$872K,High,$942K,Updated 01/07/22,$910K,1 Jul 2022,"$370,000","$540,000",3,1,200m2,670m2,,2
5,"Last sold on
      16/05/202520 Holm Avenue, Broad Bay321362m2$1,200,000(last sale price)",https://www.realestate.co.nz/property/20-holm-avenue-broad-bay-dunedin-city-otago/p78twf7r,,,,,"$1,250,000",Low,"$1,200,000",16/05/2025,Low,$1.12M,Med,$1.19M,High,$1.26M,Updated 01/07/22,$1.25M,1 Jul 2022,"$405,000","$845,000",3,2,265m2,1362m2,,2
6,"Last sold on
      16/05/202516 Balmain Street, Halfway Bush33664m2$640,000(last sale price)",https://www.realestate.co.nz/property/16-balmain-street-halfway-bush-dunedin-city-otago/b9ftc4hr,,,,,"$610,000",Low,"$640,000",16/05/2025,Low,$466K,Med,$492K,High,$522K,Updated 01/07/22,$610K,1 Jul 2022,"$285,000","$325,000",3,3,80m2,664m2,,
7,"Last sold on
      15/05/202542 Hope Street, Dunedin Central3175m2$595,000(last sale price)",https://www.realestate.co.nz/property/42-hope-street-dunedin-central-dunedin-city-otago/7l5xw1nr,,,,,"$580,000",Low,"$595,000",15/05/2025,Low,$319K,Med,$353K,High,$398K,Updated 01/07/22,$580K,1 Jul 2022,"$75,000","$505,000",3,1,119m2,75m2,,
8,"Last sold on
      13/05/202522 Kura Place, Mosgiel32620m2$935,000(last sale price)",https://www.realestate.co.nz/property/22-kura-place-mosgiel-dunedin-city-otago/k2k2k2js,,,,,"$930,000",Low,"$935,000",13/05/2025,Low,$912K,Med,$945K,High,$1M,Updated 01/07/22,$930K,1 Jul 2022,"$400,000","$530,000",3,2,247m2,620m2,,2
9,"Last sold on
      09/05/202520 Jensen Street, Green Island31675m2$509,000(last sale price)",https://www.realestate.co.nz/property/20-jensen-street-green-island-dunedin-city-otago/x18l1kbs,,,,,"$465,000",Low,"$509,000",9/05/2025,Low,$424K,Med,$449K,High,$482K,Updated 01/07/22,$465K,1 Jul 2022,"$280,000","$185,000",3,1,124m2,675m2,,
10,"Last sold on
      09/05/202516 Cosy Dell Road, North Dunedin63208m2$958,000(last sale price)",https://www.realestate.co.nz/property/16-cosy-dell-road-north-dunedin-dunedin-city-otago/c1l2fqrr,,,,,"$900,000",Low,"$958,000",9/05/2025,Low,$851K,Med,$903K,High,$955K,Updated 01/07/22,$900K,1 Jul 2022,"$425,000","$475,000",6,3,158m2,208m2,,
11,"Last sold on
      09/05/202543 Main Road, Fairfield42731m2$900,000(last sale price)",https://www.realestate.co.nz/property/43-main-road-fairfield-dunedin-city-otago/prqlc1ds,,,,,"$980,000",Low,"$900,000",9/05/2025,Low,$935K,Med,$996K,High,$1.06M,Updated 01/07/22,$980K,1 Jul 2022,"$315,000","$665,000",4,2,200m2,731m2,,3
12,"Last sold on
      09/05/202557 Helena Street, Forbury21$363,000(last sale price)",https://www.realestate.co.nz/property/57-helena-street-forbury-dunedin-city-otago/ktvpbs1r,,,,,"$550,000",Low,"$363,000",9/05/2025,Low,$462K,Med,$497K,High,$539K,Updated 01/07/22,$550K,1 Jul 2022,"$220,000","$330,000",2,1,90m2,,,1
13,"Last sold on
      09/05/202517 Bolton Street, East Otago4831m2$125,000(last sale price)",https://www.realestate.co.nz/property/17-bolton-street-east-otago-dunedin-city-otago/j8s486bs,,,,,"$250,000",Low,"$125,000",9/05/2025,Low,$211K,Med,$263K,High,$338K,Updated 01/07/22,$250K,1 Jul 2022,"$100,000","$150,000",,,120m2,4831m2,,
14,"Last sold on
      09/05/2025114 Argyle Street, Mosgiel41890m2$750,000(last sale price)",https://www.realestate.co.nz/property/114-argyle-street-mosgiel-dunedin-city-otago/bc2gldms,,,,,"$840,000",Low,"$750,000",9/05/2025,Low,$711K,Med,$769K,High,$841K,Updated 01/07/22,$840K,1 Jul 2022,"$690,000","$150,000",4,1,151m2,890m2,,1
15,"Last sold on
      08/05/20259 Camden Grove, Maia32664m2$1,154,000(last sale price)",https://www.realestate.co.nz/property/9-camden-grove-maia-dunedin-city-otago/WLM9zCtXk,,,,,"$980,000",Low,"$1,154,000",8/05/2025,Low,$909K,Med,$968K,High,$1.06M,Updated 01/07/22,$980K,1 Jul 2022,"$380,000","$600,000",3,2,194m2,664m2,,1
16,"Recently sold106 Ashmore Street, Halfway Bush31622m2Price is not yet confirmed",https://www.realestate.co.nz/property/106-ashmore-street-halfway-bush-dunedin-city-otago/7l5xw1hr,,,,,"$540,000",Low,,,Low,$495K,Med,$522K,High,$547K,Updated 01/07/22,$540K,1 Jul 2022,"$285,000","$255,000",3,1,100m2,622m2,,2
17,"Last sold on
      06/05/202513 Argyle Street, Mornington31387m2$530,000(last sale price)",https://www.realestate.co.nz/property/13-argyle-street-mornington-dunedin-city-otago/7m1fv7lr,,,,,"$580,000",Low,"$530,000",6/05/2025,Low,$532K,Med,$556K,High,$584K,Updated 01/07/22,$580K,1 Jul 2022,"$290,000","$290,000",3,1,91m2,387m2,,1
18,"Last sold on
      06/05/202531 Stanley Street, Kenmure31458m2$555,000(last sale price)",https://www.realestate.co.nz/property/31-stanley-street-kenmure-dunedin-city-otago/p4snqzmr,,,,,"$530,000",Low,"$555,000",6/05/2025,Low,$486K,Med,$519K,High,$549K,Updated 01/07/22,$530K,1 Jul 2022,"$335,000","$195,000",3,1,130m2,458m2,,
19,"Last sold on
      05/05/2025115 Hagart-alexander Drive, Mosgiel31602m2$620,000(last sale price)",https://www.realestate.co.nz/property/115-hagart-alexander-drive-mosgiel-dunedin-city-otago/5p153vns,,,,,"$670,000",Low,"$620,000",5/05/2025,Low,$639K,Med,$679K,High,$716K,Updated 01/07/22,$670K,1 Jul 2022,"$375,000","$295,000",3,1,130m2,602m2,,1
20,"Last sold on
      02/05/202523 Delphic Street, Sawyers Bay31768m2$615,000(last sale price)",https://www.realestate.co.nz/property/23-delphic-street-sawyers-bay-dunedin-city-otago/5hyg3t5q,,,,,"$670,000",Low,"$615,000",2/05/2025,Low,$650K,Med,$685K,High,$721K,Updated 01/07/22,$670K,1 Jul 2022,"$270,000","$400,000",3,1,220m2,768m2,,4
21,"Last sold on
      01/05/2025235 Gladstone Road North, Mosgiel31809m2$586,250(last sale price)",https://www.realestate.co.nz/property/235-gladstone-road-north-mosgiel-dunedin-city-otago/c2b7ps9v,,,,,"$600,000",Low,"$586,250",1/05/2025,Low,$555K,Med,$584K,High,$613K,Updated 01/07/22,$600K,1 Jul 2022,"$335,000","$265,000",3,1,110m2,809m2,,1
22,"Last sold on
      01/05/202598C Factory Road, Mosgiel11106m2$420,000(last sale price)",https://www.realestate.co.nz/property/98c-factory-road-mosgiel-dunedin-city-otago/n5X8gnlYk,,,,,"$510,000",Low,"$420,000",1/05/2025,Low,$464K,Med,$497K,High,$527K,Updated 01/07/22,$510K,1 Jul 2022,"$240,000","$270,000",1,1,56m2,106m2,,
23,"Last sold on
      30/04/202513 Maryhill Terrace, Maryhill31455m2$575,000(last sale price)",https://www.realestate.co.nz/property/13-maryhill-terrace-maryhill-dunedin-city-otago/n0kb9fmr,"13 Maryhill Terrace, Maryhill, Dunedin City",Great Location Ready Now,"This is a well presented two bedroom, one bathroom home with open plan kitchen and living area and excellent functional flow throughout. There is the option to have a separate lounge or third bedroom.The home is kept warm by a heat pump and gas heater.The bathroom set up offers a shower over bath with vanity and separate toilet.Features include the separate laundry space, the private patio area with easy care section and the garage off street parking.This home is conveniently located within walking distance to the Mornington shops and Countdown supermarkets, and is also close to the city, local schools, and public transport routes. Its desirable location makes it appealing to a wide market.No petsTenants to maintain the lawnGas heater and stoveAvailable now",dollar$570 per week,,,,,,,,,,,,,,,,2,1,,,,
24,"Last sold on
      30/04/202542A Ayr Street, Mosgiel31130m2$515,000(last sale price)",https://www.realestate.co.nz/property/42a-ayr-street-mosgiel-dunedin-city-otago/s2nkr7ls,,,,,"$495,000",Low,"$515,000",30/04/2025,Low,$501K,Med,$523K,High,$552K,Updated 01/07/22,$495K,1 Jul 2022,"$290,000","$205,000",3,1,130m2,130m2,,1
25,"Last sold on
      30/04/202598B Victoria Road, Saint Kilda21$380,000(last sale price)",https://www.realestate.co.nz/property/98b-victoria-road-saint-kilda-dunedin-city-otago/cy3w874r,,,,,"$395,000",Low,"$380,000",30/04/2025,Low,$360K,Med,$381K,High,$408K,Updated 01/07/22,$395K,1 Jul 2022,"$230,000","$165,000",2,1,70m2,,,1
26,"Last sold on
      30/04/20259 De Carle Street, Saint Kilda53369m2$745,000(last sale price)",https://www.realestate.co.nz/property/9-de-carle-street-saint-kilda-dunedin-city-otago/2vj3ky4r,,,,,"$620,000",Low,"$745,000",30/04/2025,Low,$575K,Med,$617K,High,$668K,Updated 01/07/22,$620K,1 Jul 2022,"$270,000","$350,000",5,3,160m2,369m2,,2
27,"Last sold on
      29/04/20252 Chapel Street, Kaikorai31567m2$435,000(last sale price)",https://www.realestate.co.nz/property/2-chapel-street-kaikorai-dunedin-city-otago/rwtk3fhr,,,,,"$450,000",Low,"$435,000",29/04/2025,Low,$408K,Med,$432K,High,$458K,Updated 01/07/22,$450K,1 Jul 2022,"$230,000","$220,000",3,1,103m2,567m2,,1
28,"Last sold on
      29/04/2025484 South Road, Calton Hill31417m2$350,000(last sale price)",https://www.realestate.co.nz/property/484-south-road-calton-hill-dunedin-city-otago/jrcdtmxr,,,,,"$435,000",Low,"$350,000",29/04/2025,Low,$390K,Med,$419K,High,$440K,Updated 01/07/22,$435K,1 Jul 2022,"$205,000","$230,000",3,1,97m2,417m2,,
29,"Last sold on
      29/04/202525 Council Street, Saint Kilda21235m2$315,000(last sale price)",https://www.realestate.co.nz/property/25-council-street-saint-kilda-dunedin-city-otago/6rjhn04r,,,,,"$415,000",Low,"$315,000",29/04/2025,Low,$349K,Med,$386K,High,$409K,Updated 01/07/22,$415K,1 Jul 2022,"$230,000","$185,000",2,1,80m2,235m2,,
30,"Last sold on
      29/04/2025131 Gladstone Road South, East Taieri433348m2$1,850,000(last sale price)",https://www.realestate.co.nz/property/131-gladstone-road-south-east-taieri-dunedin-city-otago/p21mtlcgc,,,,,"$1,760,000",Low,"$1,850,000",29/04/2025,Low,$1.61M,Med,$1.81M,High,$1.92M,Updated 01/07/22,$1.76M,1 Jul 2022,"$900,000","$860,000",4,3,430m2,3348m2,,2
31,"Last sold on
      28/04/202531 Botha Street, Tainui32378m2$485,000(last sale price)",https://www.realestate.co.nz/property/31-botha-street-tainui-dunedin-city-otago/b46l983r,,,,,"$510,000",Low,"$485,000",28/04/2025,Low,$483K,Med,$524K,High,$559K,Updated 01/07/22,$510K,1 Jul 2022,"$300,000","$210,000",3,2,112m2,378m2,,
32,"Last sold on
      28/04/202534 Mulford Street, Concord42512m2$630,000(last sale price)",https://www.realestate.co.nz/property/34-mulford-street-concord-dunedin-city-otago/7nxysf8r,,,,,"$640,000",Low,"$630,000",28/04/2025,Low,$587K,Med,$608K,High,$650K,Updated 01/07/22,$640K,1 Jul 2022,"$270,000","$370,000",4,2,235m2,512m2,,
33,"Last sold on
      28/04/202559 Beresford Street, Wakari31853m2$620,000(last sale price)",https://www.realestate.co.nz/property/59-beresford-street-wakari-dunedin-city-otago/k492ggfr,,,,,"$630,000",Low,"$620,000",28/04/2025,Low,$569K,Med,$599K,High,$630K,Updated 01/07/22,$630K,1 Jul 2022,"$250,000","$380,000",3,1,105m2,853m2,,2
34,"Last sold on
      24/04/202546 Aberdeen Road, Saint Clair42716m2$775,000(last sale price)",https://www.realestate.co.nz/property/46-aberdeen-road-saint-clair-dunedin-city-otago/fp4snqyr,,,,,"$790,000",Low,"$775,000",24/04/2025,Low,$764K,Med,$810K,High,$866K,Updated 01/07/22,$790K,1 Jul 2022,"$285,000","$505,000",4,2,170m2,716m2,,1
35,"Last sold on
      24/04/202579 Playfair Street, Caversham41807m2$375,000(last sale price)",https://www.realestate.co.nz/property/79-playfair-street-caversham-dunedin-city-otago/psgrm3yr,,,,,"$445,000",Low,"$375,000",24/04/2025,Low,$346K,Med,$390K,High,$429K,Updated 01/07/22,$445K,1 Jul 2022,"$215,000","$230,000",4,1,150m2,807m2,,
36,"Last sold on
      24/04/202535 Murray Street, Mosgiel31809m2$515,000(last sale price)",https://www.realestate.co.nz/property/35-murray-street-mosgiel-dunedin-city-otago/0r9msqjs,,,,,"$520,000",Low,"$515,000",24/04/2025,Low,$517K,Med,$550K,High,$578K,Updated 01/07/22,$520K,1 Jul 2022,"$330,000","$190,000",3,1,120m2,809m2,,2
37,"Last sold on
      24/04/202527 Elliot Street, Andersons Bay31673m2$706,000(last sale price)",https://www.realestate.co.nz/property/27-elliot-street-andersons-bay-dunedin-city-otago/d1gqrlvr,,,,,"$740,000",Low,"$706,000",24/04/2025,Low,$647K,Med,$705K,High,$748K,Updated 01/07/22,$740K,1 Jul 2022,"$540,000","$200,000",3,1,142m2,673m2,,1
38,"Last sold on
      24/04/20257/63 Opoho Road, North East Valley62485m2$525,000(last sale price)",https://www.realestate.co.nz/property/7-63-opoho-road-north-east-valley-dunedin-city-otago/nzptb84x,,,,,"$430,000",Low,"$525,000",24/04/2025,Low,$412K,Med,$457K,High,$491K,Updated 01/07/22,$430K,1 Jul 2022,"$230,000","$200,000",6,2,150m2,485m2,,1
39,"Last sold on
      24/04/2025784 Portobello Road, Broad Bay311.38ha$960,000(last sale price)",https://www.realestate.co.nz/property/784-portobello-road-broad-bay-dunedin-city-otago/jd5tdw7r,,,,,"$1,200,000",Low,"$960,000",24/04/2025,Low,$1.09M,Med,$1.1M,High,$1.19M,Updated 01/07/22,$1.2M,1 Jul 2022,"$610,000","$590,000",3,1,150m2,1.38ha,,
40,"Last sold on
      24/04/20257 Malvern Street, Woodhaugh508m2$589,675(last sale price)",https://www.realestate.co.nz/property/7-malvern-street-woodhaugh-dunedin-city-otago/2sxfcpbr,,,,,"$610,000",Low,"$589,675",24/04/2025,Low,$579K,Med,$615K,High,$651K,Updated 01/07/22,$610K,1 Jul 2022,"$295,000","$315,000",,,163m2,508m2,,1
41,"Last sold on
      23/04/202531 Mitchell Street, Abbotsford31501m2$595,000(last sale price)",https://www.realestate.co.nz/property/31-mitchell-street-abbotsford-dunedin-city-otago/dx30my8r,,,,,"$650,000",Low,"$595,000",23/04/2025,Low,$597K,Med,$635K,High,$670K,Updated 01/07/22,$650K,1 Jul 2022,"$255,000","$395,000",3,1,160m2,501m2,,2
42,"Last sold on
      22/04/202521 Turner Street, Halfway Bush31544m2$537,250(last sale price)",https://www.realestate.co.nz/property/21-turner-street-halfway-bush-dunedin-city-otago/8hkd1gcr,,,,,"$550,000",Low,"$537,250",22/04/2025,Low,$512K,Med,$535K,High,$564K,Updated 01/07/22,$550K,1 Jul 2022,"$295,000","$255,000",3,1,110m2,544m2,,1
43,"Last sold on
      22/04/202510 Alison Crescent, Belleknowes421050m2$1,220,000(last sale price)",https://www.realestate.co.nz/property/10-alison-crescent-belleknowes-dunedin-city-otago/y4mfjxgr,,,,,"$1,250,000",Low,"$1,220,000",22/04/2025,Low,$1.07M,Med,$1.19M,High,$1.25M,Updated 01/07/22,$1.25M,1 Jul 2022,"$620,000","$630,000",4,2,174m2,1050m2,,
44,"Last sold on
      22/04/202513 Mcmaster Road, Saddle Hill121.75ha$955,000(last sale price)",https://www.realestate.co.nz/property/13-mcmaster-road-saddle-hill-dunedin-city-otago/9gkjd5gs,,,,,"$1,060,000",Low,"$955,000",22/04/2025,Low,$987K,Med,$997K,High,$1.01M,Updated 01/07/22,$1.06M,1 Jul 2022,"$470,000","$590,000",1,2,136m2,1.75ha,,
45,"Last sold on
      22/04/202528A Forfar Street, Mosgiel21$399,000(last sale price)",https://www.realestate.co.nz/property/28a-forfar-street-mosgiel-dunedin-city-otago/pddp84ls,,,,,"$320,000",Low,"$399,000",22/04/2025,Low,$308K,Med,$337K,High,$369K,Updated 01/07/22,$320K,1 Jul 2022,"$170,000","$150,000",2,1,60m2,,,1
46,"Last sold on
      17/04/202517 Trafalgar Street, Saint Kilda31405m2$512,000(last sale price)",https://www.realestate.co.nz/property/17-trafalgar-street-saint-kilda-dunedin-city-otago/2y4mfj5r,,,,,"$605,000",Low,"$512,000",17/04/2025,Low,$510K,Med,$546K,High,$577K,Updated 01/07/22,$605K,1 Jul 2022,"$345,000","$260,000",3,1,121m2,405m2,,
47,"Last sold on
      17/04/20258 Benhar Street, Maryhill3567m2$500,000(last sale price)",https://www.realestate.co.nz/property/8-benhar-street-maryhill-dunedin-city-otago/4fg5kpmr,,,,,"$600,000",Low,"$500,000",17/04/2025,Low,$557K,Med,$587K,High,$622K,Updated 01/07/22,$600K,1 Jul 2022,"$385,000","$215,000",3,,119m2,567m2,,2
48,"Last sold on
      17/04/202535 Kinmont Crescent, Mosgiel21$534,000(last sale price)",https://www.realestate.co.nz/property/35-kinmont-crescent-mosgiel-dunedin-city-otago/s1s1s1ks,,,,,"$435,000",Low,"$534,000",17/04/2025,Low,$388K,Med,$407K,High,$435K,Updated 01/07/22,$435K,1 Jul 2022,"$190,000","$245,000",2,1,90m2,,,1
49,"Last sold on
      17/04/20255 Seddon Street, Ravensbourne31931m2$313,000(last sale price)",https://www.realestate.co.nz/property/5-seddon-street-ravensbourne-dunedin-city-otago/5m946g6q,,,,,"$495,000",Low,"$313,000",17/04/2025,Low,$401K,Med,$438K,High,$477K,Updated 01/07/22,$495K,1 Jul 2022,"$275,000","$220,000",3,1,110m2,931m2,,1
50,"Last sold on
      17/04/20257 Wren Lane, Saint Leonards431567m2$877,500(last sale price)",https://www.realestate.co.nz/property/7-wren-lane-saint-leonards-dunedin-city-otago/hcfp4srlk,,,,,"$1,025,000",Low,"$877,500",17/04/2025,Low,$931K,Med,$977K,High,$1.07M,Updated 01/07/22,$1.03M,1 Jul 2022,"$470,000","$555,000",4,3,160m2,1567m2,,2
51,"Last sold on
      17/04/202554 Waimea Avenue, Calton Hill21667m2$510,000(last sale price)",https://www.realestate.co.nz/property/54-waimea-avenue-calton-hill-dunedin-city-otago/7bgknrxr,,,,,"$420,000",Low,"$510,000",17/04/2025,Low,$362K,Med,$389K,High,$420K,Updated 01/07/22,$420K,1 Jul 2022,"$260,000","$160,000",2,1,74m2,667m2,,
52,"Last sold on
      17/04/202559 Argyle Street, Mornington622m2$155,000(last sale price)",https://www.realestate.co.nz/property/59-argyle-street-mornington-dunedin-city-otago/bwh71zst,,,,,"$170,000",Low,"$155,000",17/04/2025,Low,$163K,Med,$193K,High,$223K,Updated 01/07/22,$170K,1 Jul 2022,"$170,000",$0,,,,622m2,,
53,"Last sold on
      17/04/20256 Victoria Street, Waikouaiti2502m2$67,000(last sale price)",https://www.realestate.co.nz/property/6-victoria-street-waikouaiti-dunedin-city-otago/sfw34zpz,,,,,"$255,000",Low,"$67,000",17/04/2025,Low,$224K,Med,$252K,High,$278K,Updated 01/07/22,$255K,1 Jul 2022,"$67,000","$188,000",2,,100m2,502m2,,1
54,"Last sold on
      17/04/2025111 Hillhead Road, Corstorphine21500m2$431,000(last sale price)",https://www.realestate.co.nz/property/111-hillhead-road-corstorphine-dunedin-city-otago/g5kph0pw,,,,,"$450,000",Low,"$431,000",17/04/2025,Low,$401K,Med,$424K,High,$452K,Updated 01/07/22,$450K,1 Jul 2022,"$275,000","$175,000",2,1,95m2,500m2,,
55,"Last sold on
      16/04/202547 Melbourne Street, South Dunedin31393m2$380,000(last sale price)",https://www.realestate.co.nz/property/47-melbourne-street-south-dunedin-dunedin-city-otago/30myyn2r,"47 Melbourne Street, South Dunedin, Dunedin City",Short Term Rental,"Tidy well positioned three bedroom, one bathroom home with open plan living.Kept warm by a centrally located wood burner and heat pump.Healthy homes compliantThis home is walking distance to local South Dunedin shops, Pak ‘n Save, hair salons, a short distance to the beach and the CBD and would be suitable for a wide market.No petsNo whiteware includeAvailable now – February 2026",dollar$495 per week,,,,,,,,,,,,,,,,3,1,,,,
56,"Last sold on
      16/04/202573 Mckerrow Street, Shiel Hill31554m2$595,000(last sale price)",https://www.realestate.co.nz/property/73-mckerrow-street-shiel-hill-dunedin-city-otago/c1l2fqtr,,,,,"$570,000",Low,"$595,000",16/04/2025,Low,$541K,Med,$571K,High,$597K,Updated 01/07/22,$570K,1 Jul 2022,"$350,000","$220,000",3,1,150m2,554m2,,1
57,"Last sold on
      16/04/20258 Knox Street, North East Valley62316m2$845,000(last sale price)",https://www.realestate.co.nz/property/8-knox-street-north-east-valley-dunedin-city-otago/l8jfxz8q,,,,,"$510,000",Low,"$845,000",16/04/2025,Low,$474K,Med,$519K,High,$571K,Updated 01/07/22,$510K,1 Jul 2022,"$335,000","$175,000",6,2,100m2,316m2,,
58,"Last sold on
      16/04/202519A Queens Drive, Saint Kilda31301m2$655,000(last sale price)",https://www.realestate.co.nz/property/19a-queens-drive-saint-kilda-dunedin-city-otago/pn31hg4r,,,,,"$650,000",Low,"$655,000",16/04/2025,Low,$603K,Med,$628K,High,$651K,Updated 01/07/22,$650K,1 Jul 2022,"$250,000","$400,000",3,1,128m2,301m2,,1
59,"Last sold on
      15/04/202557 Manchester Street, Bradford31582m2$240,000(last sale price)",https://www.realestate.co.nz/property/57-manchester-street-bradford-dunedin-city-otago/46gylgjr,,,,,"$510,000",Low,"$240,000",15/04/2025,Low,$452K,Med,$491K,High,$525K,Updated 01/07/22,$510K,1 Jul 2022,"$250,000","$260,000",3,1,140m2,582m2,,1
60,"Last sold on
      15/04/202559A Magdala Street, Tainui31344m2$680,000(last sale price)",https://www.realestate.co.nz/property/59a-magdala-street-tainui-dunedin-city-otago/55lfn8wr,,,,,"$710,000",Low,"$680,000",15/04/2025,Low,$628K,Med,$662K,High,$701K,Updated 01/07/22,$710K,1 Jul 2022,"$345,000","$365,000",3,1,140m2,344m2,,2
61,"Last sold on
      15/04/202537 Puketai Street, Andersons Bay21643m2$580,000(last sale price)",https://www.realestate.co.nz/property/37-puketai-street-andersons-bay-dunedin-city-otago/snqzf3vr,,,,,"$580,000",Low,"$580,000",15/04/2025,Low,$515K,Med,$550K,High,$568K,Updated 01/07/22,$580K,1 Jul 2022,"$220,000","$360,000",2,1,81m2,643m2,,
62,"Last sold on
      15/04/2025228 Harington Point Road, Portobello1150m2$225,000(last sale price)",https://www.realestate.co.nz/property/228-harington-point-road-portobello-dunedin-city-otago/s1s1s16r,,,,,"$335,000",Low,"$225,000",15/04/2025,Low,$275K,Med,$322K,High,$362K,Updated 01/07/22,$335K,1 Jul 2022,"$335,000",$0,,,,1150m2,,
63,"Last sold on
      15/04/202546 Tainui Road, Tainui31419m2$511,000(last sale price)",https://www.realestate.co.nz/property/46-tainui-road-tainui-dunedin-city-otago/h71z04wr,,,,,"$510,000",Low,"$511,000",15/04/2025,Low,$460K,Med,$500K,High,$532K,Updated 01/07/22,$510K,1 Jul 2022,"$400,000","$110,000",3,1,135m2,419m2,,
64,"Last sold on
      14/04/2025114 Scurr Road, Scroggs Hill22ha$1,200,000(last sale price)",https://www.realestate.co.nz/property/114-scurr-road-scroggs-hill-dunedin-city-otago/3p9wh3gs,,,,,"$1,460,000",Low,"$1,200,000",14/04/2025,Low,$1.22M,Med,$1.37M,High,$1.5M,Updated 01/07/22,$1.46M,1 Jul 2022,"$500,000","$960,000",2,,220m2,2ha,,
65,"Last sold on
      14/04/202528 Hart Street, Belleknowes1012m2$845,000(last sale price)",https://www.realestate.co.nz/property/28-hart-street-belleknowes-dunedin-city-otago/b1qf4tgr,,,,,"$790,000",Low,"$845,000",14/04/2025,Low,$725K,Med,$790K,High,$856K,Updated 01/07/22,$790K,1 Jul 2022,"$710,000","$80,000",,,210m2,1012m2,,2
66,"Last sold on
      14/04/20251 Gilmore Street, Kaikorai31474m2$535,000(last sale price)",https://www.realestate.co.nz/property/1-gilmore-street-kaikorai-dunedin-city-otago/71z04cqrz,,,,,"$510,000",Low,"$535,000",14/04/2025,Low,$474K,Med,$502K,High,$526K,Updated 01/07/22,$510K,1 Jul 2022,"$230,000","$280,000",3,1,122m2,474m2,,
67,"Last sold on
      14/04/202523 Thornly Park Avenue, Mosgiel42951m2$1,285,000(last sale price)",https://www.realestate.co.nz/property/23-thornly-park-avenue-mosgiel-dunedin-city-otago/7t0s542fk,,,,,"$1,200,000",Low,"$1,285,000",14/04/2025,Low,$1.25M,Med,$1.32M,High,$1.39M,Updated 01/07/22,$1.2M,1 Jul 2022,"$530,000","$670,000",4,2,268m2,951m2,,2
68,"Last sold on
      14/04/20252 Carnarvon Street, Belleknowes42582m2$849,000(last sale price)",https://www.realestate.co.nz/property/2-carnarvon-street-belleknowes-dunedin-city-otago/5g2y4mkr,,,,,"$900,000",Low,"$849,000",14/04/2025,Low,$781K,Med,$843K,High,$885K,Updated 01/07/22,$900K,1 Jul 2022,"$480,000","$420,000",4,2,138m2,582m2,,1
69,"Last sold on
      14/04/202574 Woodside Road, Outram316.48ha$1,025,000(last sale price)",https://www.realestate.co.nz/property/74-woodside-road-outram-dunedin-city-otago/21mtlzhs,,,,,"$1,000,000",Low,"$1,025,000",14/04/2025,Low,$904K,Med,$1.01M,High,$1.08M,Updated 01/07/22,$1M,1 Jul 2022,"$640,000","$360,000",3,1,104m2,6.48ha,,2
70,"Last sold on
      11/04/2025202 North Road, North East Valley41206m2$410,000(last sale price)",https://www.realestate.co.nz/property/202-north-road-north-east-valley-dunedin-city-otago/vkz2wd9q,,,,,"$400,000",Low,"$410,000",11/04/2025,Low,$373K,Med,$398K,High,$424K,Updated 01/07/22,$400K,1 Jul 2022,"$240,000","$160,000",4,1,100m2,206m2,,
